pm10,pm25,co,so2,no2,o3,datatime
13,8,0.4,0.002,0.014,0.028,18
11,8,0.3,0.003,0.008,0.045,14
13,10,0.3,0.003,0.010,0.044,13
15,9,0.3,0.003,0.009,0.045,12
16,14,0.3,0.002,0.011,0.039,11
15,9,0.3,0.003,0.012,0.035,10
16,11,0.3,0.003,0.010,0.035,09
14,10,0.3,0.002,0.013,0.031,08
15,11,0.3,0.002,0.010,0.033,07
14,12,0.3,0.003,0.007,0.036,06
14,12,0.3,0.003,0.005,0.038,05
16,12,0.3,0.002,0.004,0.038,04
15,12,0.3,0.002,0.005,0.035,03
19,13,0.3,0.003,0.006,0.033,02
20,14,0.3,0.003,0.008,0.034,01
21,15,0.3,0.003,0.013,0.036,24
20,16,0.4,0.002,0.014,0.039,23
21,16,0.4,0.003,0.016,0.044,22
26,20,0.4,0.003,0.017,0.060,21
24,16,0.4,0.003,0.016,0.058,20
21,16,0.4,0.003,0.013,0.053,19
21,15,0.4,0.003,0.012,0.054,18
18,16,0.4,0.003,0.011,0.059,17
18,12,0.4,0.003,0.011,0.053,16
18,14,0.3,0.003,0.009,0.057,15
17,11,0.3,0.003,0.007,0.057,14
19,13,0.3,0.003,0.007,0.054,13
17,10,0.3,0.003,0.009,0.047,12
16,9,0.3,0.003,0.009,0.039,11
16,8,0.3,0.002,0.009,0.033,10
16,8,0.3,0.003,0.008,0.028,09
13,8,0.3,0.002,0.010,0.024,08
15,11,0.3,0.003,0.008,0.025,07
14,9,0.3,0.003,0.007,0.026,06
14,12,0.3,0.002,0.006,0.027,05
15,10,0.3,0.002,0.006,0.027,04
15,10,0.3,0.002,0.006,0.028,03
15,11,0.3,0.003,0.006,0.028,02
15,10,0.3,0.002,0.008,0.029,01
16,11,0.3,0.003,0.008,0.031,24
15,10,0.3,0.003,0.009,0.033,23
16,11,0.3,0.003,0.011,0.033,22
11,8,0.3,0.003,0.011,0.038,21
14,11,0.4,0.003,0.012,0.039,20
15,10,0.4,0.003,0.009,0.050,19
12,8,0.3,0.003,0.007,0.055,18
11,5,0.3,0.003,0.007,0.057,17
8,6,0.3,0.003,0.006,0.052,16
9,3,0.3,0.003,0.006,0.051,15
6,4,0.3,0.003,0.005,0.049,14
6,4,0.3,0.003,0.005,0.047,13
8,4,0.3,0.003,0.005,0.045,12
4,1,0.3,0.003,0.005,0.040,11
6,4,0.3,0.003,0.006,0.037,10
7,5,0.3,0.003,0.007,0.032,09
8,5,0.3,0.003,0.009,0.029,08
9,6,0.3,0.002,0.008,0.028,07
9,6,0.3,0.002,0.007,0.030,06
10,7,0.3,0.003,0.005,0.030,05
11,6,0.3,0.003,0.006,0.029,04
10,5,0.3,0.002,0.006,0.030,03
11,8,0.3,0.003,0.006,0.035,02
14,8,0.3,0.003,0.006,0.036,01
12,8,0.3,0.002,0.007,0.038,24
12,8,0.3,0.003,0.006,0.040,23
12,7,0.3,0.003,0.007,0.040,22
10,8,0.3,0.003,0.006,0.040,21
8,6,0.3,0.003,0.006,0.040,20
7,6,0.3,0.003,0.006,0.042,19
7,4,0.3,0.003,0.005,0.043,18
8,7,0.3,0.003,0.006,0.044,17
8,5,0.3,0.003,0.006,0.048,16
11,6,0.3,0.003,0.006,0.048,15
11,7,0.3,0.003,0.006,0.048,14
16,8,0.3,0.003,0.007,0.047,13
13,7,0.3,0.003,0.010,0.042,12
17,10,0.3,0.003,0.010,0.038,11
14,9,0.4,0.003,0.013,0.034,10
12,10,0.3,0.003,0.011,0.035,09
13,9,0.3,0.003,0.012,0.031,08
13,8,0.3,0.003,0.009,0.032,07
13,9,0.3,0.003,0.008,0.033,06
16,11,0.3,0.003,0.006,0.034,05
15,10,0.3,0.003,0.007,0.031,04
17,13,0.3,0.003,0.008,0.029,03
19,13,0.4,0.003,0.013,0.025,02
16,15,0.4,0.003,0.015,0.028,01
17,12,0.4,0.003,0.011,0.033,24
19,13,0.4,0.003,0.016,0.028,23
18,13,0.4,0.003,0.017,0.032,22
21,14,0.4,0.003,0.014,0.039,21
21,15,0.4,0.003,0.016,0.042,20
19,16,0.4,0.003,0.017,0.047,19
19,14,0.4,0.003,0.012,0.053,18
20,14,0.4,0.003,0.014,0.050,17
22,16,0.4,0.003,0.010,0.054,16
22,16,0.4,0.003,0.010,0.052,15
22,14,0.4,0.003,0.012,0.047,14
26,16,0.4,0.003,0.014,0.042,13
27,15,0.4,0.003,0.017,0.033,12
28,17,0.4,0.003,0.019,0.026,11
24,14,0.4,0.003,0.020,0.021,10
21,15,0.4,0.003,0.019,0.019,09
21,14,0.4,0.003,0.020,0.013,08
26,18,0.5,0.003,0.022,0.009,07
24,17,0.5,0.003,0.019,0.010,06
28,22,0.4,0.003,0.014,0.018,05
30,21,0.5,0.003,0.017,0.020,04
33,28,0.5,0.003,0.021,0.022,03
36,29,0.6,0.003,0.033,0.015,02
37,31,0.6,0.003,0.041,0.013,01
38,30,0.6,0.003,0.036,0.023,24
37,31,0.6,0.003,0.039,0.026,23
34,30,0.6,0.003,0.031,0.043,22
34,31,0.6,0.003,0.029,0.051,21
33,28,0.5,0.003,0.024,0.063,20
36,30,0.5,0.003,0.020,0.076,19
35,28,0.5,0.003,0.017,0.087,18
33,29,0.5,0.003,0.015,0.093,17
32,27,0.5,0.003,0.013,0.100,16
32,26,0.5,0.003,0.012,0.095,15
31,24,0.4,0.003,0.011,0.091,14
30,26,0.4,0.003,0.010,0.082,13
25,19,0.4,0.003,0.010,0.072,12
27,20,0.4,0.003,0.012,0.052,11
25,16,0.5,0.003,0.016,0.037,10
26,20,0.4,0.003,0.013,0.032,09
26,20,0.4,0.003,0.013,0.028,08
31,25,0.4,0.003,0.015,0.026,07
36,28,0.5,0.003,0.014,0.028,06
35,29,0.5,0.003,0.013,0.030,05
33,27,0.5,0.003,0.012,0.037,04
36,30,0.5,0.003,0.012,0.043,03
34,29,0.5,0.002,0.015,0.044,02
33,29,0.5,0.003,0.017,0.045,01
36,30,0.5,0.003,0.015,0.052,24
36,30,0.5,0.003,0.015,0.053,23
33,28,0.5,0.003,0.010,0.060,22
37,31,0.5,0.003,0.012,0.065,21
42,34,0.5,0.003,0.017,0.082,20
44,38,0.5,0.004,0.017,0.108,19
41,32,0.5,0.004,0.018,0.117,18
41,34,0.5,0.004,0.020,0.112,17
42,33,0.5,0.003,0.021,0.101,16
40,33,0.5,0.004,0.018,0.093,15
35,29,0.5,0.003,0.014,0.090,14
37,32,0.5,0.003,0.012,0.078,13
29,20,0.5,0.003,0.014,0.058,12
30,20,0.4,0.003,0.020,0.033,11
24,14,0.4,0.003,0.022,0.025,10
20,13,0.4,0.003,0.021,0.023,09
20,14,0.4,0.003,0.020,0.020,08
21,17,0.4,0.003,0.019,0.021,07
